activity_id,activity_name,related_process,cost_driver,measurement_unit,avg_consumption_rate
ACT001,"原材料检验",PP001,"检验次数",次,12.0
ACT002,"锻件质量检测",PP002,"检测批次",批,18.0
ACT003,"热处理能耗",PP003,"耗电量",千瓦时,0.8
ACT004,"车床设备折旧",PP004,"机器小时",小时,25.0
ACT005,"磨床设备维护",PP006,"维护次数",次,150.0
ACT006,"超精设备校准",PP007,"校准次数",次,80.0
ACT007,"钢球质量分选",PP008,"分选重量",吨,200.0
ACT008,"保持架成型",PP009,"冲压次数",次,0.5
ACT009,"装配人工",PP010,"装配小时",小时,35.0
ACT010,"成品检测",PP011,"检测套数",套,2.5
ACT011,"仓储管理",PP011,"库存金额",万元,0.003
ACT012,"物流运输",PP011,"运输距离",公里,3.2
