process_id,process_name,department,equipment_required,standard_time_min,resource_cost_yuan,quality_control_points
PP001,"下料工序",原材料车间,"锯床",15,2.5,"材料规格检查"
PP002,"锻造工序",锻造车间,"锻压机",45,8.0,"锻件尺寸检测"
PP003,"球化退火",热处理车间,"箱式炉",480,15.0,"硬度检测"
PP004,"粗车加工",车加工车间,"数控车床",60,12.0,"尺寸精度检测"
PP005,"热处理",热处理车间,"淬火炉",120,20.0,"硬度和金相组织检测"
PP006,"精磨加工",磨加工车间,"万能磨床",90,18.0,"表面粗糙度和尺寸检测"
PP007,"超精加工",超精车间,"超精机",30,6.0,"表面质量检测"
PP008,"钢球加工",钢球车间,"冷镦机",120,25.0,"球形度和尺寸检测"
PP009,"保持架冲压",保持架车间,"冲压机",25,4.5,"外形尺寸检测"
PP010,"成品装配",装配车间,"装配台",40,5.0,"旋转灵活性检测"
PP011,"终检包装",质检部,"检测设备",30,3.5,"全套性能检测"
